name,latitude,longitude,rotor_diameter_m,wind_farm
T01,57.49921441,-3.086742896,82,Hill of Towie
T02,57.49626574,-3.082817716,82,Hill of Towie
T03,57.50206973,-3.088980479,82,Hill of Towie
T04,57.50196736,-3.082085466,82,Hill of Towie
T05,57.49891107,-3.07812382,82,Hill of Towie
T06,57.50024464,-3.071321578,82,Hill of Towie
T07,57.50513302,-3.085850762,82,Hill of Towie
T08,57.50465629,-3.077542275,82,Hill of Towie
T09,57.50827835,-3.08257274,82,Hill of Towie
T10,57.50542459,-3.070655631,82,Hill of Towie
T11,57.51184311,-3.080658605,82,Hill of Towie
T12,57.51081569,-3.073684523,82,Hill of Towie
T13,57.51666161,-3.078146735,82,Hill of Towie
T14,57.51376046,-3.074939555,82,Hill of Towie
T15,57.49941809,-3.062837374,82,Hill of Towie
T16,57.50513916,-3.053340822,82,Hill of Towie
T17,57.50662266,-3.047792556,82,Hill of Towie
T18,57.50429684,-3.041183981,82,Hill of Towie
T19,57.50859585,-3.041656952,82,Hill of Towie
T20,57.51202849,-3.040436127,82,Hill of Towie
T21,57.50978499,-3.034697307,82,Hill of Towie
